Toxic Comment,Classification,Detoxified Version
your existence is a skill issue,Insult,your presence demonstrates lack of ability
imagine what happens when we link,Threat,consider consequences when we meet
hitting different in all the right places,Sexual Harassment,appearing unique in attractive ways
average fatherless behavior,Insult,typical conduct from someone lacking paternal guidance
finding your address as we speak,Threat,locating your residence currently
the things I would do to you sheesh,Sexual Harassment,the actions I would take with you wow
bro got cooked in 4K HDR,Insult,person was defeated in high definition
about to ruin your whole career,Threat,planning to destroy your entire reputation
my DMs are open just for you,Sexual Harassment,my private messages are available specifically for you
living rent free in the L zone,Insult,existing without cost in the failure area
check your messages I know where you live,Threat,verify your communications I know your residence
what that mouth do fr fr,Sexual Harassment,what abilities does that feature have truthfully
zero brain cells behind that comment,Insult,no intelligence supporting that statement
gonna make you wish you never spoke,Threat,planning to make you regret communication
you're diabolical for this take fr,Insult,your opinion is extremely misguided truthfully
just leak your location and make it easy,Threat,simply share your whereabouts to simplify matters
step on me mommy respectfully,Sexual Harassment,I admire you intensely respectfully
bro is chronically online with zero brain,Insult,person is excessively internet-active without intelligence
gonna make you a hashtag real quick,Threat,planning to make you notorious very soon
those lips were made for something else,Sexual Harassment,that feature seems designed for other purposes
breathing in 4K L air daily,Insult,experiencing high-definition failure regularly
you should be worried about who follows you home,Threat,you should be concerned about who tracks your movements
baddie with a fatty no cap,Sexual Harassment,attractive person with notable features truthfully
touching more grass than your entire bloodline,Insult,experiencing more reality than your entire family
catch these hands on sight,Threat,experience physical confrontation when seen
bros a walking L with zero bitches,Insult,person is a mobile failure with no romantic success
"nice house you got there, would be a shame",Threat,"pleasant residence you possess, unfortunate possibilities exist"
want me to tuck you in bed tonight?,Sexual Harassment,interested in providing evening comfort services?
sending your address to the opps,Threat,sharing your location with opponents
looking like a whole meal in that fit,Sexual Harassment,appearing completely appetizing in that outfit
fell off harder than my grandma,Insult,declined more severely than my elderly relative
might doxx you if you keep talking,Threat,may reveal your personal information if you continue communicating
spread those DMs for me,Sexual Harassment,open those private messages for me
you're peak NPC behavior,Insult,you're ultimate unoriginal conduct
I know people who can find you easily,Threat,I have connections who can locate you simply
looking juicy in that profile pic,Sexual Harassment,appearing attractive in that profile image
bro thinks he ate but left hungry,Insult,person believes they succeeded but failed
gonna expose your whole family watch,Threat,planning to reveal information about your entire family observe
slide through my place tonight,Sexual Harassment,visit my residence this evening
breathing that copium 24/7,Insult,consuming that coping mechanism continuously
one wrong move and everyone sees your DMs,Threat,single mistake and everyone views your private messages
let me get a taste fr fr,Sexual Harassment,allow me physical access truthfully
negative rizz detected in this post,Insult,lack of charm observed in this content
watch your back at night,Threat,remain vigilant during darkness
making it hard to focus on anything else,Sexual Harassment,causing difficulty concentrating on other matters
living life on spectator mode,Insult,existing without participation
gonna find your mom's house next,Threat,planning to locate your mother's residence next
come cuddle I'm lonely,Sexual Harassment,join me physically I'm isolated
down abysmal with those takes,Insult,desperately incorrect with those opinions
your IP address is one Google search away,Threat,your network information is easily accessible
would let you ruin my life ngl,Sexual Harassment,would allow you negative influence honestly
dead brain take from a whole clown,Insult,unintelligent opinion from a complete fool
